2015-12-17 16:57:46 status unpacked libpam0g:armhf 1.1.8-3.1
2015-12-17 16:57:46 status unpacked libpam0g:armhf 1.1.8-3.1
2015-12-17 16:57:47 install libpcre3:armhf <none> 2:8.35-3.3
2015-12-17 16:57:47 status half-installed libpcre3:armhf 2:8.35-3.3
2015-12-17 16:57:47 status unpacked libpcre3:armhf 2:8.35-3.3
2015-12-17 16:57:47 status unpacked libpcre3:armhf 2:8.35-3.3
2015-12-17 16:57:47 install libprocps3:armhf <none> 2:3.3.9-9
2015-12-17 16:57:47 status half-installed libprocps3:armhf 2:3.3.9-9
2015-12-17 16:57:47 status unpacked libprocps3:armhf 2:3.3.9-9
2015-12-17 16:57:47 status unpacked libprocps3:armhf 2:3.3.9-9
2015-12-17 16:57:47 install libselinux1:armhf <none> 2.3-2
2015-12-17 16:57:47 status half-installed libselinux1:armhf 2.3-2
2015-12-17 16:57:48 status unpacked libselinux1:armhf 2.3-2
2015-12-17 16:57:48 status unpacked libselinux1:armhf 2.3-2
2015-12-17 16:57:48 install libsemanage-common:all <none> 2.3-1
2015-12-17 16:57:48 status half-installed libsemanage-common:all 2.3-1
2015-12-17 16:57:48 status unpacked libsemanage-common:all 2.3-1
2015-12-17 16:57:48 status unpacked libsemanage-common:all 2.3-1
2015-12-17 16:57:48 install libsemanage1:armhf <none> 2.3-1+b1
2015-12-17 16:57:48 status half-installed libsemanage1:armhf 2.3-1+b1
2015-12-17 16:57:48 status unpacked libsemanage1:armhf 2.3-1+b1
2015-12-17 16:57:48 status unpacked libsemanage1:armhf 2.3-1+b1
2015-12-17 16:57:49 install libsepol1:armhf <none> 2.3-2
2015-12-17 16:57:49 status half-installed libsepol1:armhf 2.3-2
2015-12-17 16:57:49 status unpacked libsepol1:armhf 2.3-2
2015-12-17 16:57:49 status unpacked libsepol1:armhf 2.3-2
2015-12-17 16:57:49 install libslang2:armhf <none> 2.3.0-2
2015-12-17 16:57:49 status half-installed libslang2:armhf 2.3.0-2
2015-12-17 16:57:49 status unpacked libslang2:armhf 2.3.0-2
2015-12-17 16:57:49 status unpacked libslang2:armhf 2.3.0-2
2015-12-17 16:57:50 install libsmartcols1:armhf <none> 2.25.2-6
2015-12-17 16:57:50 status half-installed libsmartcols1:armhf 2.25.2-6
2015-12-17 16:57:50 status unpacked libsmartcols1:armhf 2.25.2-6
2015-12-17 16:57:50 status unpacked libsmartcols1:armhf 2.25.2-6
2015-12-17 16:57:50 install libss2:armhf <none> 1.42.12-1.1
2015-12-17 16:57:50 status half-installed libss2:armhf 1.42.12-1.1
2015-12-17 16:57:50 status unpacked libss2:armhf 1.42.12-1.1
2015-12-17 16:57:50 status unpacked libss2:armhf 1.42.12-1.1
2015-12-17 16:57:50 install libsystemd0:armhf <none> 215-17+deb8u1
